Image,Path,Reference,isCalibrated,sppName,sppID,REGION Area cm2,SPECIES Area cm2,TOTAL Area cm2,REGION Cov %,SPECIES Cov %,TOTAL Cov %,Region Area pix,Species Area pix,Total Area pix,CentroidX,CentroidY,Eccentricity,Orientation,Perimeter pix,Perimeter cm,EquivDiameter pix,EquivDiameter cm,perimRoughness,PerimOverArea,BoundingBox Area Pix,BoundingBox Area cm2,MajorAxisLength pix,MajorAxisLength cm,MinorAxisLength pix,MinorAxisLength cm,ref Area pix,ref Area cm2,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,hasPockets,user notes
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,9.01024,126.294,1407.82,0.253123,3.54797,39.5496,29499,413480,4.61E+06,3002.43,1445.85,0.742109,-41.8338,967.82,16.915,193.802,3.387,32.0411,0.0328086,60756,18.557,272.6,4.764,182.718,3.193,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,1.61304,126.294,1407.82,0.0453149,3.54797,39.5496,5281,413480,4.61E+06,2422.4,2054.4,0.530571,-27.3784,290.551,5.078,81.9999,1.433,7.76787,0.0550182,7221,2.206,89.5177,1.564,75.8788,1.326,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,1.2123,126.294,1407.82,0.034057,3.54797,39.5496,3969,413480,4.61E+06,2386.16,2130.77,0.806607,-42.7002,268.066,4.685,71.0879,1.242,19.2747,0.0675399,5850,1.787,92.9854,1.625,54.9625,0.961,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,0.639291,126.294,1407.82,0.0179595,3.54797,39.5496,2093,413480,4.61E+06,2370.77,1941.02,0.739026,51.6353,202.024,3.531,51.6226,0.902,16.2423,0.0965238,3021,0.923,63.7592,1.114,42.9531,0.751,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,2.0373,126.294,1407.82,0.0572335,3.54797,39.5496,6670,413480,4.61E+06,2531.2,1947.41,0.824031,72.9454,351.321,6.14,92.1548,1.611,22.0733,0.0526718,9694,2.961,123.914,2.166,70.2027,1.227,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,29.9844,126.294,1407.82,0.842346,3.54797,39.5496,98167,413480,4.61E+06,3003.2,2095.99,0.708444,-85.2476,2978.33,52.052,353.539,6.179,38.6788,0.0303395,223289,68.202,527.669,9.222,372.411,6.509,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,4.02054,126.294,1407.82,0.112948,3.54797,39.5496,13163,413480,4.61E+06,3141.11,2506.18,0.893834,84.7859,521.078,9.107,129.459,2.263,29.937,0.0395866,18032,5.508,201.06,3.514,90.1551,1.576,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,0.580646,126.294,1407.82,0.016312,3.54797,39.5496,1901,413480,4.61E+06,2907.06,2557.16,0.66671,61.7365,175.681,3.07,49.1978,0.86,12.6723,0.0924152,2773,0.847,57.3025,1.001,42.7085,0.746,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,0.679304,126.294,1407.82,0.0190836,3.54797,39.5496,2224,413480,4.61E+06,2863.94,2584.65,0.966219,-40.2709,274.149,4.791,53.2136,0.93,43.1309,0.123269,7154,2.185,116.368,2.034,29.9905,0.524,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Agaricia tenuifolia,39,0.601111,126.294,1407.82,0.0168869,3.54797,39.5496,1968,413480,4.61E+06,3000.06,2586.58,0.982144,48.7776,274.978,4.806,50.0573,0.875,48.8879,0.139724,7310,2.233,127.34,2.226,23.9565,0.419,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
